Model,Accuracy,F1 (Macro),Precision,Recall,Latency (ms)
Cross-Attention,0.9466666666666667,0.9436907453694493,0.9458919330289193,0.9449772384513316,0.07645686467488606
Late Fusion,0.9966666666666667,0.996334369272452,0.9955555555555555,0.9971830985915492,0.048847993214925126
